variable,age_at_admission,imd_decile,__missing__imd_decile,days_from_admission_to_first_culture,surgery_length,min_days_from_surgery_to_infection,temp,__missing__temp,crp,__missing__crp,gender,past_abx,emergency_exposure_90d,hospital_exposure_90d,any_healthcare_exposure_90d,asthma,cancer,copd,hypertension,ischaemic_heart_disease,type2_diabetes,prior_positive_esbl
emergency_exposure_90d,0.0037439173983920895,-0.09830295916812641,-0.006001707547153004,-0.012700994330309925,-0.05690207165364584,-0.011271227515190923,0.02825278875941017,0.030255314740889137,-0.014397526426500261,0.020707657136057083,-0.01654045692692916,0.18118073267419885,1.0,0.1509625223437751,0.24473169751877094,-0.03450742134307199,0.00851953145595757,-0.01756418113958929,-0.043215786393298865,-0.02828324712685316,-0.0027439712703668574,0.0418533450674666
hospital_exposure_90d,-0.010597507925670371,-0.042116649045962386,0.003082823069353177,0.044868160859151796,0.03587209920218725,0.037446312238181706,-0.0020623593292877487,-0.04515005703293377,-0.012397225484338246,0.0019377283882848725,-0.020645616769551893,0.22362775740436977,0.1509625223437751,1.0,0.7521031274244194,0.0013745050135000618,0.00852744974831036,0.027044153051566797,0.00889859390110665,-0.009094647563995919,0.006450949564424281,0.08763291930135825
any_healthcare_exposure_90d,-0.009432195213175053,-0.05007974536948106,0.003723244244511712,0.04043597670313493,0.02474959015838567,0.04327769282042875,-0.01697106257995003,-0.03328032467770482,-0.028642352897321356,0.008299229974767173,0.006905109705069879,0.24060602271522225,0.24473169751877094,0.7521031274244194,1.0,-0.024208935504726487,0.0030660932053478444,0.01783206169686368,-0.008217171958536091,-0.02628638678276805,-0.002301924067287691,0.0740820438568079
asthma,0.10450609341791593,0.0139301092987264,-0.056099056162337506,0.010789766203044563,0.0874474144762893,3.105501385881873e-06,0.047697271350874766,-0.05147625095685071,0.1198603128842756,-0.09616442588672178,-0.032177957667576466,-0.059078648442400614,-0.03450742134307199,0.0013745050135000618,-0.024208935504726487,1.0,0.008535730038782944,0.08121081487222141,0.02562411714044756,0.08686560071231654,-0.011037508300373602,0.011925941439049875
cancer,0.0767470839979808,-0.01141029840033912,0.002679993011526128,0.0008970689386270375,0.09201649344932632,0.010359858772204009,0.024757301809860546,-0.046053454706644646,0.0405940811127628,-0.03761407566612031,-0.011180662748146742,-0.0003074341860747017,0.00851953145595757,0.00852744974831036,0.0030660932053478444,0.008535730038782944,1.0,0.027286565941069166,0.009930499400197334,-0.01653628022037888,0.005954325562358188,-0.008623180203766777
copd,0.039154540105750334,-0.03051938988866811,0.014816925277570472,-0.0029400567097743286,0.024481151903900406,-0.008498455952139463,-0.01624368780567614,-0.013882781048108155,0.05024244456738352,-0.00978264468598627,-0.052664673369062276,-0.018502554730611333,-0.01756418113958929,0.027044153051566797,0.01783206169686368,0.08121081487222141,0.027286565941069166,1.0,0.04233042097404437,0.07745034679022972,0.019334569346853646,-0.008927919525753888
hypertension,0.31824872428771345,0.014299751672508014,-0.05077967034627547,0.0127855301826086,0.14852503453155802,-0.008621908225682347,-0.03649759942500611,-0.12573640529133503,0.017763875345894714,-0.15375248218632517,-0.09813859252071637,-0.020683408570436983,-0.043215786393298865,0.00889859390110665,-0.008217171958536091,0.02562411714044756,0.009930499400197334,0.04233042097404437,1.0,0.2627274657962841,0.18411570188608842,0.016858699967344303
ischaemic_heart_disease,0.24053536339809506,0.018933625129208785,-0.05304421577063925,0.03255839284625938,0.1860695094207308,0.024648638098806686,0.009261631302533801,-0.13827476769473837,-0.04897194480800686,-0.15524320588781917,-0.1457324987176629,-0.017417939991487653,-0.02828324712685316,-0.009094647563995919,-0.02628638678276805,0.08686560071231654,-0.01653628022037888,0.07745034679022972,0.2627274657962841,1.0,0.16013416645521794,-0.025316246800103727
type2_diabetes,0.10161836966555558,-0.042837471682526135,-0.030306833097373746,0.026296322318484607,0.0937015575199393,0.04569279579206337,0.016882053098369914,-0.05025474138156627,0.0083591861091472,-0.05878562017753146,-0.05880830063383965,0.012605445105444108,-0.0027439712703668574,0.006450949564424281,-0.002301924067287691,-0.011037508300373602,0.005954325562358188,0.019334569346853646,0.18411570188608842,0.16013416645521794,1.0,0.03977559322922889
prior_positive_esbl,-0.001941809479293175,-0.03216099718235855,-0.022198317482559727,-0.011264095735693685,-0.06102541539420904,-0.0034535081405948666,-0.01568241351152916,0.02609688761816886,0.0016385790356196971,-0.0035247405135750585,-0.011234293375212867,0.06398242267262265,0.0418533450674666,0.08763291930135825,0.0740820438568079,0.011925941439049875,-0.008623180203766777,-0.008927919525753888,0.016858699967344303,-0.025316246800103727,0.03977559322922889,1.0
