variable_1,variable_2,category_1,category_2,count,proportion
tfc,prophylaxis_group,vascular,cefuroxime +/- metronidazole,37,0.01429123213595983
tfc,prophylaxis_group,uro_nephro,aminoglycoside-based,35,0.013518733101583623
tfc,prophylaxis_group,cardiothoracic,co-amoxiclav-based,34,0.01313248358439552
tfc,prophylaxis_group,ortho_plastics,limited_enterobact_activity,34,0.01313248358439552
tfc,prophylaxis_group,__MISSING__,no_prophylaxis,34,0.01313248358439552
tfc,prophylaxis_group,neuro_ent,aminoglycoside-based,31,0.01197373503283121
tfc,prophylaxis_group,cardiothoracic,limited_enterobact_activity,31,0.01197373503283121
tfc,prophylaxis_group,neuro_ent,limited_enterobact_activity,31,0.01197373503283121
tfc,prophylaxis_group,abdominal_gi,aminoglycoside-based,31,0.01197373503283121
tfc,prophylaxis_group,obs_gynae,co-amoxiclav-based,30,0.011587485515643106
tfc,prophylaxis_group,obs_gynae,limited_enterobact_activity,27,0.010428736964078795
tfc,prophylaxis_group,obs_gynae,aminoglycoside-based,27,0.010428736964078795
tfc,prophylaxis_group,gynaecological_oncology,aminoglycoside-based,27,0.010428736964078795
tfc,prophylaxis_group,general_surgery,limited_enterobact_activity,26,0.010042487446890692
tfc,prophylaxis_group,general_surgery,co-amoxiclav-based,26,0.010042487446890692
tfc,prophylaxis_group,__MISSING__,cefuroxime +/- metronidazole,24,0.009269988412514484
tfc,prophylaxis_group,vascular,limited_enterobact_activity,23,0.008883738895326381
tfc,prophylaxis_group,ortho_plastics,co-amoxiclav-based,21,0.008111239860950173
tfc,prophylaxis_group,gynaecological_oncology,limited_enterobact_activity,21,0.008111239860950173
tfc,prophylaxis_group,general_surgery,aminoglycoside-based,20,0.00772499034376207
tfc,prophylaxis_group,gynaecological_oncology,co-amoxiclav-based,19,0.007338740826573967
tfc,prophylaxis_group,ortho_plastics,aminoglycoside-based,18,0.006952491309385863
tfc,prophylaxis_group,neuro_ent,co-amoxiclav-based,18,0.006952491309385863
tfc,prophylaxis_group,vascular,aminoglycoside-based,17,0.00656624179219776
tfc,prophylaxis_group,uro_nephro,cefuroxime +/- metronidazole + aminoglycoside,16,0.006179992275009656
tfc,prophylaxis_group,obs_gynae,cefuroxime +/- metronidazole + aminoglycoside,16,0.006179992275009656
tfc,prophylaxis_group,cardiothoracic,aminoglycoside-based,16,0.006179992275009656
tfc,prophylaxis_group,vascular,co-amoxiclav-based,16,0.006179992275009656
tfc,prophylaxis_group,abdominal_gi,cefuroxime +/- metronidazole + aminoglycoside,14,0.005407493240633449
tfc,prophylaxis_group,__MISSING__,co-amoxiclav-based,14,0.005407493240633449
tfc,prophylaxis_group,__MISSING__,limited_enterobact_activity,12,0.004634994206257242
tfc,prophylaxis_group,__MISSING__,aminoglycoside-based,9,0.0034762456546929316
tfc,prophylaxis_group,general_surgery,other_broad_spectrum_gram_negative_active,7,0.0027037466203167246
tfc,prophylaxis_group,gynaecological_oncology,cefuroxime +/- metronidazole + aminoglycoside,7,0.0027037466203167246
tfc,prophylaxis_group,ortho_plastics,cefuroxime +/- metronidazole + aminoglycoside,6,0.002317497103128621
tfc,prophylaxis_group,cardiothoracic,cefuroxime +/- metronidazole + aminoglycoside,6,0.002317497103128621
tfc,prophylaxis_group,uro_nephro,other_broad_spectrum_gram_negative_active,6,0.002317497103128621
tfc,prophylaxis_group,vascular,cefuroxime +/- metronidazole + aminoglycoside,5,0.0019312475859405175
tfc,prophylaxis_group,obs_gynae,other_broad_spectrum_gram_negative_active,5,0.0019312475859405175
tfc,prophylaxis_group,cardiothoracic,other_broad_spectrum_gram_negative_active,4,0.001544998068752414
tfc,prophylaxis_group,neuro_ent,other_broad_spectrum_gram_negative_active,4,0.001544998068752414
tfc,prophylaxis_group,__MISSING__,cefuroxime +/- metronidazole + aminoglycoside,3,0.0011587485515643105
tfc,prophylaxis_group,ortho_plastics,other_broad_spectrum_gram_negative_active,3,0.0011587485515643105
tfc,prophylaxis_group,abdominal_gi,other_broad_spectrum_gram_negative_active,3,0.0011587485515643105
tfc,prophylaxis_group,general_surgery,cefuroxime +/- metronidazole + aminoglycoside,2,0.000772499034376207
tfc,prophylaxis_group,gynaecological_oncology,other_broad_spectrum_gram_negative_active,2,0.000772499034376207
tfc,prophylaxis_group,vascular,other_broad_spectrum_gram_negative_active,2,0.000772499034376207
tfc,prophylaxis_group,neuro_ent,cefuroxime +/- metronidazole + aminoglycoside,2,0.000772499034376207
tfc,prophylaxis_group,__MISSING__,other_broad_spectrum_gram_negative_active,1,0.0003862495171881035
